JSON Path (Key),Data Type,Value in Example (Fixed Value),Description
resourceType,String,Bundle,Identifies the root FHIR resource type.
id,String,DiagnosticReport-Lab-example-03,The logical identifier for this specific Bundle.
meta.versionId,String,1,The version identifier for the resource.
meta.lastUpdated,Instant,2020-07-09T15:32:26.605+05:30,Timestamp of when the resource was last updated.
meta.profile,Array of URIs,https://nrces.in/ndhm/fhir/r4/StructureDefinition/DocumentBundle,The specific FHIR profiles this resource claims to conform to.
meta.security.system,URI,http://terminology.hl7.org/CodeSystem/v3-Confidentiality,The terminology system used for security tags.
meta.security.code,String (Code),V,"The security code (e.g., 'V' for very restricted)."
meta.security.display,String,very restricted,Human-readable display for the security code.
identifier.system,URI,http://hip.in,The namespace/system for the bundle's identifier.
identifier.value,String,UUID,The actual unique identifier value for the bundle.
type,String (Code),document,Indicates this bundle acts as a clinical document.
timestamp,Instant,2020-07-09T15:32:26.605+05:30,When this document bundle was assembled.
entry.fullUrl,URI,urn:uuid:b074d677-e9f1...,The absolute URL for the resource entry within the bundle.
entry.resource.resourceType,String,Composition / Patient / Observation,Identifies the FHIR resource type of the specific entry.
entry.resource.id,String,UUID,The logical identifier for the embedded resource.
entry.resource.meta.profile,Array of URIs,https://nrces.in/ndhm/fhir/r4/StructureDefinition/DiagnosticReportRecord,The profile the embedded resource conforms to.
entry.resource.language,String (Code),en-IN,The base language of the resource content.
entry.resource.text.status,String (Code),generated,Indicates the narrative text was generated from the data.
entry.resource.text.div,HTML String,"<div xmlns=""http://www.w3.org/1999/xhtml"">...",The human-readable formatted HTML narrative.
entry.resource.identifier.system,URI,https://healthid.ndhm.gov.in,The namespace for the resource's specific identifier.
entry.resource.identifier.value,String,UUID,"The value of the resource's identifier (e.g., Medical Record Number)."
entry.resource.identifier.type.coding.system,URI,http://terminology.hl7.org/CodeSystem/v2-0203,Terminology system defining the identifier type.
entry.resource.identifier.type.coding.code,String (Code),MR / MD / PRN,"Code indicating the type of identifier (Medical Record, License, etc.)."
entry.resource.status,String (Code),final / active / current,The workflow status of the resource.
entry.resource.type.coding.system,URI,http://snomed.info/sct,The terminology system for the document/resource type.
entry.resource.type.coding.code,String (Code),721981007,The SNOMED CT code for the document or report type.
entry.resource.subject.reference,String (Reference),urn:uuid:34f24c3c...,Internal UUID reference linking to the Patient resource.
entry.resource.date,DateTime,2017-05-27T11:46:09+05:30,The date/time associated with the resource context.
entry.resource.author.reference,String (Reference),UUID,Internal UUID reference to the Practitioner (author).
entry.resource.title,String,Diagnostic Report- Lab,A human-readable title for the document/report.
entry.resource.section.title,String,Hematology report,Title of a specific section within the Composition.
entry.resource.section.code.coding.system,URI,http://snomed.info/sct,Terminology system for the section code.
entry.resource.section.code.coding.code,String (Code),4321000179101,Code defining the type of clinical section.
entry.resource.section.entry.reference,String (Reference),UUID,References to the actual data resources in this section.
entry.resource.name.text,String,ABC / Dr. DEF,Full text representation of a Patient/Practitioner/Organization name.
entry.resource.telecom.system,String (Code),phone / email,The kind of telecommunication device/contact.
entry.resource.telecom.value,String,+919818512600,The actual phone number or email address.
entry.resource.gender,String (Code),male,Administrative gender of the patient.
entry.resource.birthDate,Date,1981-01-12,The patient's date of birth.
entry.resource.category.coding.system,URI,http://snomed.info/sct,Terminology system for the service category.
entry.resource.code.coding.system,URI,http://loinc.org,Terminology system for the observation/report code (usually LOINC for labs).
entry.resource.code.coding.code,String (Code),24331-1 / 2093-3,LOINC code identifying the test performed.
entry.resource.issued,Instant,<DATE>,Date/Time this version of the report was made available.
entry.resource.performer.reference,String (Reference),UUID,Reference to the Organization/Lab performing the test.
entry.resource.result.reference,String (Reference),UUID,References to the individual Observation resources (the lab results).
entry.resource.conclusion,String,Elevated cholesterol...,Clinical conclusion or summary of the report.
entry.resource.conclusionCode.coding.code,String (Code),439953004,SNOMED CT code representing the clinical conclusion.
entry.resource.valueQuantity.value,Number,156 / 146,The numerical value of the lab observation.
entry.resource.valueQuantity.unit,String,mg/dL,The human-readable unit of measure.
entry.resource.valueQuantity.system,URI,http://snomed.info/sct,"Terminology system for the unit (often UCUM, but SNOMED used here)."
entry.resource.referenceRange.high.value,Number,200 / 150,The upper bound of the normal/reference range.
entry.resource.referenceRange.low.value,Number,40,The lower bound of the normal/reference range.
entry.resource.receivedTime,DateTime,2015-07-08T06:40:17Z,Time when the specimen was received by the lab.
entry.resource.collection.collectedDateTime,DateTime,2020-07-08T06:40:17Z,Time when the specimen was collected from the patient.
entry.resource.intent,String (Code),original-order,The intent of the ServiceRequest.
entry.resource.content.attachment.contentType,String (MimeType),application/pdf,The mime type of the attached document.
entry.resource.content.attachment.data,Base64 String,<DATA_ENCRYPTED>,The actual base64 encoded binary data of the attachment.
signature.type.system,URI,urn:iso-astm:E1762-95:2013,Standard system defining the type of signature.
signature.type.code,String (Code),1.2.840.10065.1.12.1.1,Code identifying it as an Author's Signature.
signature.when,Instant,2020-07-09T07:42:33+10:00,When the signature was applied.
signature.sigFormat,String (MimeType),image/jpeg,The format of the signature data.
signature.data,Base64 String,<<DATA_ENCRYPTED>>,The base64 encoded binary data of the signature image.
