C1,Data Type,Value in Example (Fixed Value),Description
"resourceType","String","Bundle","Identifies the root FHIR resource type."
"id","String",Discharge Summary,"The logical identifier for this specific Bundle."
"meta.versionId","String","1","The version identifier for the resource."
"meta.lastUpdated","Instant",DATE,"Timestamp of when the resource was last updated."
"meta.profile","Array of URIs","https://nrces.in/ndhm/fhir/r4/StructureDefinition/DocumentBundle","The specific FHIR profiles this resource claims to conform to."
"meta.security.system","URI","http://terminology.hl7.org/CodeSystem/v3-Confidentiality","The terminology system used for security tags."
"meta.security.code","String (Code)","V","The security code (e.g., 'V' for very restricted)."
"meta.security.display","String","very restricted","Human-readable display for the security code."
"identifier.system","URI","http://hip.in","The namespace/system for the bundle's identifier."
"identifier.value","String",UUID,"The actual unique identifier value for the bundle."
"type","String (Code)","document","Indicates this bundle acts as a clinical document."
"timestamp","Instant",DATE,"When this document bundle was assembled."
"entry.fullUrl","URI",UUID,"The absolute URL for the resource entry within the bundle."
"entry.resource.resourceType","String","Composition / Encounter / Procedure / etc.","Identifies the FHIR resource type of the embedded entry."
"entry.resource.id","String","9233224f-772c...","The logical identifier for the embedded resource."
"entry.resource.meta.profile","Array of URIs","https://nrces.in/.../DischargeSummaryRecord","The profile the embedded resource conforms to."
"entry.resource.language","String (Code)","en-IN","The base language of the resource content."
"entry.resource.text.status","String (Code)","generated","Indicates the narrative text was generated from the data."
"entry.resource.text.div","HTML String","<div xmlns=""http://www.w3.org/1999/xhtml"">...","The human-readable formatted HTML narrative."
"entry.resource.identifier.system","URI","https://healthid.ndhm.gov.in","The namespace for the resource's specific identifier."
"entry.resource.identifier.value","String","22-7225-4829-5255","The value of the resource's identifier."
"entry.resource.identifier.type.coding.system","URI","http://terminology.hl7.org/CodeSystem/v2-0203","Terminology system defining the identifier type."
"entry.resource.identifier.type.coding.code","String (Code)","MR / MD / PRN","Code indicating the type of identifier."
"entry.resource.status","String (Code)","final / finished / booked / active / completed","The workflow status of the resource."
"entry.resource.type.coding.system","URI","http://snomed.info/sct","The terminology system for the document/resource type."
"entry.resource.type.coding.code","String (Code)","373942005","The SNOMED CT code for the document or report type."
"entry.resource.subject.reference","String (Reference)",UUID,"Internal UUID reference linking to the Patient resource."
"entry.resource.encounter.reference","String (Reference)",UUID,"Reference connecting the summary to the hospital visit."
"entry.resource.date","DateTime","2020-07-09T15:32:26.605+05:30","The date/time associated with the resource context."
"entry.resource.author.reference","String (Reference)",UUID,"Internal UUID reference to the Practitioner (author)."
"entry.resource.title","String","Discharge Summary","A human-readable title for the document."
"entry.resource.confidentiality","String (Code)","N","Confidentiality rule for the document (N = normal)."
"entry.resource.custodian.reference","String (Reference)",UUID,"Organization responsible for the document."
"entry.resource.section.title","String","Chief complaints / Medical History...","Title of a specific section within the Composition."
"entry.resource.section.code.coding.system","URI","http://snomed.info/sct","Terminology system for the section code."
"entry.resource.section.code.coding.code","String (Code)","422843007 / 1003642006...","Code defining the type of clinical section."
"entry.resource.section.entry.reference","String (Reference)",UUID,"References to the data resources populating this section."
"entry.resource.name.text","String","ABC / DEF / UVW Hospital","Full text representation of an entity's name."
"entry.resource.telecom.system","String (Code)","phone / email","The kind of telecommunication device/contact."
"entry.resource.telecom.value","String","+91 273 2139 3632","The actual phone number or email address."
"entry.resource.gender","String (Code)","male","Administrative gender of the patient."
"entry.resource.birthDate","Date","1981-01-12","The patient's date of birth."
"entry.resource.class.system","URI","http://terminology.hl7.org/CodeSystem/v3-ActCode","System for classifying the Encounter."
"entry.resource.class.code","String (Code)","IMP","Code for Inpatient Encounter."
"entry.resource.period.start","DateTime","2020-04-20T15:32:26.605+05:30","When the encounter/admission started."
"entry.resource.period.end","DateTime","2020-05-01T15:32:26.605+05:30","When the encounter/admission ended."
